author_year,doi,site,system,TTD approach,TTD approach additional,Model name,tracer,Tracer influx sampling resolution,Tracer data target (resolution),Hydrometric data target,estimated age metric,Model resolution [h]
Knapp et al. (2019),10.5194/hess-23-4367-2019,"Plynlimon, Hafren",Catchment,Ensemble hydrograph separation,,NA,"O-18, H-2, Cl",weekly,stream (weekly),NA,"New water Fraction, marginal age distribution",168
Knapp et al. (2019),10.5194/hess-23-4367-2019,"Plynlimon, Tanllwyth",Catchment,Ensemble hydrograph separation,,NA,"O-18, H-2, Cl",weekly,stream (weekly),NA,"New water Fraction, marginal age distribution",168
Buzacott et al. (2020),10.1002/hyp.13880,Corin,Catchment,SAS,,NA,"O-18, H-2",subdaily to monthly,stream (subdaily to monthly),NA,"full distribution, mean",24
Dunn et al. (2010),10.1002/hyp.7560,Baldardo Burn,Catchment,virtual flux tracking,"distributed, conceptual model",STREAM,H-2,daily,stream (daily),streamflow,full distribution,24
McMillan et al. (2012),10.1029/2011WR011688,Loch Ard Burn 10,Catchment,well/partially-mixed compartments,,NA,Cl,weekly,stream (weekly),streamflow,"marginal distribution, mean age",0.25
Kaandorp et al. (2021),10.5194/hess-25-3691-2021,Springendalse Beek,Catchment,particle tracking,"distributed, process-based model",MODFLOW,"Cl, NO3, H-3","(no sampling, estimate from various sources)","stream (irregular, about monthly)","streamflow, groundwater level","full distribution, marginal, water fractions",720
Lee Stevenson et al. (2021),10.1002/hyp.14223,Bruntland Burn,Catchment,virtual flux tracking,,D-Sat,H-2,daily,stream (daily),streamflow,"marginal distribution, mean age",not reported
Mayer-Anhalt et al. (2022),10.1002/hyp.14508,Quebrada Grande,Catchment,multiple approaches,virtual flux tracking and Ensemble hydrograph separation,NA,"O-18, H-2",daily,stream (daily),streamflow,"marginal distribution, mean age",not reported
Kim et al. (2022),10.1029/2020WR028959,"LEO hillslopes (East, West), Landscape Evolution Observatory, Biosphere 2",Hillslope,direct measurement,PERTH,NA,"H-2, Cl, Br",variable (all events),seepage flow (hourly),NA,full distribution,NA
Meira Neto et al. (2022),10.1029/2021WR030950,"miniLEO, Landscape Evolution Observatory, Biosphere 2",Mini Hillslope,multiple approaches,"PERTH, tracer imaging",,"O-18, H-2, Cl",variable (all events),seepage flow (hourly),NA,full distribution,NA
Nguyen et al. (2021),10.1029/2020WR028490,"Selke, Silberhütte",Catchment,SAS,partly grid-based and lumped,mHM-SAS,NO3,"(no sampling, estimation from regional fertilizer use)",streamflow (weekly),streamflow,"full distribution, median age",24
Nguyen et al. (2022),10.1029/2021WR030797,"Selke, Silberhütte",Catchment,SAS,partly grid-based and lumped,mHM-SAS,NO3,"(no sampling, estimation from regional fertilizer use)",streamflow (weekly),streamflow,"full distribution, median age",24
Nguyen et al. (2022),10.1029/2021WR030797,"Selke, Meisdorf",Catchment,SAS,partly grid-based and lumped,mHM-SAS,NO3,"(no sampling, estimation from regional fertilizer use)",streamflow (weekly),streamflow,"full distribution, median age",24
Nguyen et al. (2022),10.1029/2021WR030797,"Selke, Hausneindorf",Catchment,SAS,partly grid-based and lumped,mHM-SAS,NO3,"(no sampling, estimation from regional fertilizer use)",streamflow (weekly),streamflow,"full distribution, median age",24
Lapides et al. (2022),10.1029/2021WR031665,Dry Creek,Catchment,SAS,,tran-SAS,H-2,daily,stream (daily),NA,"full distribution, median age, marginal age distribution",4
Asadollahi et al. (2022),10.1029/2021WR030698,EPFL campus,Soil column,multiple approaches,SAS and virtual flux tracking on distributed process-based model,"tran-SAS, HYDRUS-1D","O-18, H-2",variable (all events),"leakage (subdaily), transpiration (subweekly)","soil moisture, soil tension, soil leakage","full distribution, mean age",24
